N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
       1958,   ,100,E,E.E.PU,OLIVIER DE SERRES-CARRETTE    ,21 RUE OLIVIER DE SERRES        ,ROUBAIX                   ,2584,G0000,ROUBAIX-EST                   
       1959,   1.00,100,E,E.E.PU,MONTAIGNE                     ,4 BIS RUE MONTAIGNE             ,ROUBAIX                   ,2584,G0000,ROUBAIX-EST                   
       1960,   ,100,E,E.M.PU,ALPHONSE DAUDET               ,57 RUE DE LA CONFERENCE         ,ROUBAIX                   ,2584,G0000,ROUBAIX-EST                   
       1961,   ,100,E,E.M.PU,PAUL VALERY                   ,33 BOULEVARD DE STRASBOURG      ,ROUBAIX                   ,2584,G0000,ROUBAIX-EST                   
       1962,   ,100,E,E.P.PU,LUCIE AUBRAC                  ,6 RUE BOUCHER DE PERTHES        ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1963,   ,100,E,E.E.PU,CONDORCET                     ,48 RUE BREZIN                   ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1964,   ,100,E,E.E.PU,LAKANAL                       ,157 RUE DE L INDUSTRIE          ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1965,   ,100,E,E.E.PU,LITTRE                        ,73 RUE DE NAPLES                ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1966,   ,100,E,E.P.PU,LEGOUVE                       ,46  RUE DE SOUBISE              ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1967,   ,100,E,E.E.PU,LEON JOUHAUX                  ,32 BOULEVARD DU CATEAU          ,ROUBAIX                   ,2584,G0000,ROUBAIX-CENTRE                
       1968,   ,100,E,E.E.PU,EDOUARD VAILLANT              ,50 RUE EDOUARD VAILLANT         ,ROUBAIX                   ,2584,G0000,ROUBAIX OUEST                 
       1969,   ,100,E,E.E.PU,PIERRE DE ROUBAIX             ,87 BIS RUE PIERRE DE ROUBAIX    ,ROUBAIX                   ,2584,G0000,ROUBAIX-EST                   
       1970,   ,100,E,E.E.PU,MONTESQUIEU                   ,89 RUE D HEM                    ,ROUBAIX                   ,2584,G0000,ROUBAIX-CENTRE                
